id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
36;Base Cartográfica Digital Georreferenciada das Escolas da RMSP;Divisão Territorial, cartografia e georreferenciamento#Educação;Secretaria de Educação do Estado de São Paulo#Censo Escolar;Escolas Públicas#Escolas Particulares;A base de escolas traz arquivos contendo cartografia digital georreferenciada das escolas públicas e privadas da Região Metropolitana de São Paulo, tendo como fonte original informações constantes do Censo Escolar 2013 (INEP/MEC). Os dados originais foram recebidos no formato de bancos de dados tabulares. Estes bancos de dados foram, então, padronizados e georreferenciados pela Equipe de Transferência de Tecnologia do CEM. O georreferenciamento consiste na atribuição de coordenadas geográficas a cada registro do banco de dados tabular, por meio de operações realizadas num ambiente de Sistema de Informações Geográficas (SIG). Este processo utiliza a base de logradouros georreferenciada do CEM que, num ambiente de SIG, realiza a vinculação de endereços a um sistema de coordenadas geográficas, expresso geralmente em latitude e longitude. Esta base de dados foi utilizada no aplicativo sobre Escolas, formulado especialmente para o público em geral, onde são obtidas informações sobre o desempenho e as condições de operação das escolas públicas da Região Metropolitana de São Paulo. O app escolas do CEM pode ser acessado livremente no site: http://centrodametropole.org.br/escolas/;cartográfico;Base de escolas da Região Metropolitana de São Paulo;ESC2013_RMSP_CEM.zip;2013;01/01/2016
37;Escolas Públicas - Bases de dados georreferenciadas da Região Metropolitana de São Paulo, a partir do censo escolar de 2001.;Divisão Territorial, cartografia e georreferenciamento#Educação;Secretaria de Educação do Estado de São Paulo#Censo Escolar;Escolas Públicas;"Informações organizadas a partir do Censo Escolar de 2001 (INEP/MEC) e georreferenciadas pela Fundação SEADE (parceira do Centro de Estudos da Metrópole).
São encontradas as seguintes informações por escola:
- Informações cadastrais gerais (número de alunos e de classes nos diferentes níveis de ensino)#
- Infra-estrutura das escolas (equipamentos disponíveis, entre outros)#
- Qualificação dos professores nos diferentes níveis de ensino#
- Média de acerto por escola na prova de Língua Portuguesa do SARESP de 2001 (com base nas informações da Secretaria Estadual de Educação do Estado de São Paulo). Para mais informações sobre o Censo Escolar, visite o website do INEP (www.inep.gov.br).";cartográfico;Base de dados#Dicionário de variáveis#Documentação#Dicionário de variáveis#Documentação;ESC2001.rar#Dicionario.pdf#LEIAME.pdf;2001;01/01/2001
38;Eleições 1994-2010;Divisão Territorial, cartografia e georreferenciamento#Eleições;TSE;Eleições;O Centro de Estudos da Metrópole disponibiliza dados novos e ampliados referentes às eleições no Brasil entre 1994 e 2010. São os resultados das eleições para presidente, governadores, senadores, deputados federais e estaduais agregados por município, para todo o país. Estão disponíveis os resultados tanto em número absoluto de votos como em proporção calculada com base na totalização do comparecimento de cada eleição. Acompanham estes dados, os dicionários correspondentes com as informações sobre as variáveis, um arquivo com a base cartográfica dos municípios do país, além da tabela com os partidos políticos brasileiros no período de 1994 a 2010.;não cartográfico;Resultados eleitorais da Região Metropolitana de São Paulo de 1994 a 2006;CEMDadosEleitorais_shape.rar;1994-2006;
39;Node;Divisão Territorial, cartografia e georreferenciamento#Eleições;TSE;Eleições;O Centro de Estudos da Metrópole disponibiliza dados novos e ampliados referentes às eleições no Brasil entre 1994 e 2010. São os resultados das eleições para presidente, governadores, senadores, deputados federais e estaduais agregados por município, para todo o país. Estão disponíveis os resultados tanto em número absoluto de votos como em proporção calculada com base na totalização do comparecimento de cada eleição. Acompanham estes dados, os dicionários correspondentes com as informações sobre as variáveis, um arquivo com a base cartográfica dos municípios do país, além da tabela com os partidos políticos brasileiros no período de 1994 a 2010.;não cartográfico;Dados Absolutos de voto por município, de 1994 a 2010#Dados Proporcionais de voto por município, de 1994 a 2010#Dicionário para Dados Absolutos de voto por município, de 1994 a 2010#Dicionário para Dados Proporcionais de voto por município, de 1994 a 2010#Base cartográfica digital de municípios do Brasil;CEM_Vot_Mun_94-10_ABS.xlsx#Dicionario_CEM-Vot_Mun_94-10_ABS.pdf#Dicionario_CEM-Vot_Mun_94-10_PROP.pdf#MunBr10_CEM.rar#tabela_de_partidos_politicos_brasileiros_1994_a_2010_cem.xlsx;1994-2006;
40;Cartografia digital georreferenciada do Establecimentos de saúde da RMSP;Divisão Territorial, cartografia e georreferenciamento#Saúde;Cadastro Nacional de Estabelecimentos de Saúde - CNES - do Ministério da Saúde#DataSUS;Estabelecimentos de saúde;"Os arquivos aqui apresentados contêm a cartografia digital georreferenciada dos estabelecimentos de saúde públicos e privados da Região Metropolitana de São Paulo no ano de 2016, tendo como fonte original informações constantes do Cadastro Nacional de Estabelecimentos de Saúde - CNES - do Ministério da Saúde. Os dados originais foram recebidos no formato de bancos de dados tabulares. Estes bancos de dados foram, então, padronizados e georreferenciados pela Equipe de Transferência de Tecnologia do CEM. Este arquivo contém registros geocodificados e um banco de dados contendo informações dos estabelecimentos de saúde, tais como: nome, endereço, caracterização, atividade, tipo de atendimento, horário de atendimento, dentre outras. Todos os 39 municípios da Região Metropolitana de São Paulo foram contemplados nesse banco de dados. O arquivo original do CNES continha 23.306 estabelecimentos cadastrados, porém 20 deles não foram encontrados em nenhuma das etapas da geocodificação. O banco de dados aqui disponibilizado - ""SAU2016_CEM_RMSP"" - conta com 23.286 estabelecimentos de saúde.";cartográfico;Estabelecimentos de Saúde da Região Metropolitana de São Paulo;SAU2016_CEM_RMSP.zip;2016;01/01/2016
41;Shapefiles dos Lançamentos Imobiliários Comerciais;Divisão Territorial, cartografia e georreferenciamento#Habitação;Embraesp;Setor imobiliário;Este banco de dados permite que se avance na compreensão a respeito da dinâmica do setor imobiliário, sendo possível por meio dele responder como (em preço, tamanho, número de vagas) e onde (por município, distrito, coordenada geográfica) tem ocorrido a oferta de imóveis comerciais em São Paulo e Região Metropolitana ao longo dos últimos 28 anos. É um excelente recurso para pesquisadores de temas urbanos, especial a quem se dedica a estudar o setor imobiliário e sua regulação pelos municípios, que vem sendo problematizada como uma das principais causas do crescimento desordenado e da segregação espacial nas metrópoles brasileiras. Trata-se de dados relativos a aperfeiçoamento qualitativo e ampliação de informações sobre os lançamentos imobiliários comerciais de São Paulo e da Região Metropolitana de São Paulo, sistematizadas pela Empresa Brasileira de Patrimônio (Embraesp) no período entre 1985 e 2013.;cartográfico;Lançamentos Imobiliários Comerciais entre 1985 e 2013 RMSP;Empreendimentos_Comerciais_1985_2013_CEM.rar;1985-2013;
42;Shapefiles dos Lançamentos Imobiliários Residenciais;Divisão Territorial, cartografia e georreferenciamento#Habitação;Embraesp;Setor imobiliário;Dados relativos a aperfeiçoamento qualitativo e ampliação de informações sobre os lançamentos imobiliários residenciais da Região Metropolitana de São Paulo, sistematizadas pela Empresa Brasileira de Patrimônio (Embraesp) no período entre 1985 e 2013. O objetivo é subsidiar investigações geoestatísticas, de economia urbana e de políticas públicas, fazendo parte de um amplo projeto de investigação dos padrões de governança que permeiam a relação Estado e setores fora do Estado interessados na condução de políticas públicas urbanas, como é o caso do setor imobiliário. Dentre os aprimoramentos realizados pela equipe CEM, o banco traz o georreferenciamento  dos edifícios e casas, a correção e atualização monetária, a padronização do nome das principais empresas incorporadoras de cada empreendimento e diversas operações geográficas que permitem o cruzamento das informações dos lançamentos com dados dos Censos (1991, 2000 e 2010). As variáveis adicionadas ao banco e o método utilizado para o trabalho estão indicados no Dicionário de Variáveis, que acompanha o conjunto de dados. Este banco de dados permite que se avance na compreensão a respeito da dinâmica do setor imobiliário residencial, sendo possível por meio dele responder como (em preço, tamanho, número de dormitórios e vagas na garagem) e onde (por município, distrito, coordenada geográfica) tem ocorrido a oferta de imóveis residenciais em São Paulo e Região Metropolitana ao longo dos últimos 28 anos. É um excelente recurso para pesquisadores de temas urbanos, em especial aos que se dedicam a estudar o setor imobiliário e sua regulação pelos municípios, que vem sendo problematizada como uma das principais causas do crescimento desordenado e da segregação espacial nas metrópoles brasileiras.;cartográfico;Empreendimentos Residenciais entre 1985 e 2013 RMSP CEM;LanRes_85-13_RMSP_CEM.zip;1985-2013;
43;Limites territoriais do Brasil – Regiões, Estados e Municípios 2013 -  Bases cartográficas Digitais Georrefereciadas;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Limites territoriais do Brasil;Elaborados sob coordenação do geógrafo José Donizete Cazzolato, os arquivos aqui apresentados são originários de bases disponibilizadas no site do IBGE em 2005. Em sucessivas edições, esses arquivos foram atualizados e aprimorados com a utilização de novas bases que o IBGE disponibilizou. (especialmente os setores censitários 2010) assim como de imagens divulgadas na internet (como o Google Earth) e outras fontes de informação. Foram ainda efetivadas muitas adequações dos limites municipais aos recortes do litoral, deslocando-os, em certos casos, do eixo de baías ou canais, o que resultou em polígonos mais ajustados aos reais contornos territoriais municipais. Informações detalhadas podem ser conferidas no dicionário que integra o arquivo rar;cartográfico;Limites Territoriais do Brasil 2013 CEM;Limites_Territoriais_do_Brasil_2013_CEM.rar;;01/01/2013
44;Rede Hidrográfica da RMSP: Base Cartográfica Digital Georreferenciada;Divisão Territorial, cartografia e georreferenciamento;Grupo de Pesquisa GovÁgua USP – PROCAM#Mapa Municipal Estatístico – IBGE#Secretaria do Medio Ambiente do Estado de São Paulo#DAEE#Sabesp#Prefeituras dos municípios da Região Metropolitana de São Paulo;Rede Hidrográfica;Os dois arquivos aqui disponibilizados foram produzidos entre 2016 e 2017 e trazem as bases  que foram elaboradas a partir de bases existentes, e compatíveis com a escala 1:10.000, buscando a complementação do acervo cartográfico à disposição não apenas dos pesquisadores do centro, mas de toda a sociedade, através do site CEM. A conceituação geográfica de hidrografia reconhece dois tipos básicos de fenômenos nas superfícies continentais: cursos d'água (rios, córregos, canais) e corpos d'água (lagos e reservatórios). Em geoprocessamento, os cursos d’água são usualmente fenômenos lineares, enquanto os corpos d'água constituem polígonos (áreas). A identificação dos arquivos CEM de hidrografia indica essa condição: HidrL (L=linha), onde estão os rios, e HidrA (A=área), onde estão os reservatórios.;cartográfico;Base Cartográfica Digital Georreferenciada da Rede Hidrográfica da RMSP;Hidrografia_RMSP_CEM.zip;;01/01/2017
45;AIH 2000 - Bases de dados sobre autorização de Internação Hospitalar na Região Metropolitana de São Paulo;Divisão Territorial, cartografia e georreferenciamento#Saúde;DataSUS#Sistema de Informação Hospitalar;Autorização de Internação Hospitalar (AIH) na RMSP;Os arquivos brutos coletados no portal de dados do Ministério da Saúde foram georreferenciados pelo CEP de residência do paciente. Cada ponto representa uma AIH, com informações básicas, tais como caracterização do paciente (idade, sexo etc.), da internação (número da AIH, hospital, especialidade, procedimento solicitado e realizado, diagnóstico, data de internação e alta, motivo de cobrança) e de faturamento (valores cobrados).;cartográfico;AIH 2000#Dicionário de variáveis - 2001-2003#Manual de instruções;AIH2000.rar#AIH_dicio.pdf#AIH_manual.pdf;2000;
